branch_id,branch_name,branch_location,city,region
b2cf6b84-bf63-4667-878d-1a9cced679a7,Tucker-Manning,"073 Walker Knolls Apt. 034, New David, WI 79793",Sydney,Oceania
13ab5eda-efdd-4a7d-bc81-973072b06957,George Ltd,"22009 Mary Shoals, Jamesview, WY 85713",New York,Asia
363a302a-eee2-42b5-b6ff-b2e8a4205867,Gross Ltd,"46689 Katherine Ville Suite 126, Emilyfort, MO 17246",Paris,Oceania
045684a9-87d6-403a-bcb7-16b18d3145a6,"Potter, Fletcher and Flores","8885 Morales Extension Suite 746, West Holly, PR 47119",Cape Town,Asia
f7d599ba-a566-4f80-ad1b-8c22de72cbd2,Thomas-Cunningham,"34794 Hunt Ville Suite 779, Robertbury, VA 67980",Tokyo,Asia
ec953cb7-5c64-4005-9395-c5d14560cd12,Spencer-Brown,"2543 Francisco Way Suite 870, East Isabellaville, VA 41231",Tokyo,Oceania
6b02610a-6d9a-4a97-ad1c-9a4bb385dc81,"Martin, Austin and Carey","83252 Robert Fort, North Adrian, KS 23655",Cape Town,Oceania
eda831f0-dd7b-4bdb-bf18-d0b95e35e0e1,"Jones, Wright and Phillips","4512 Allison Cliffs, East Kristineborough, DE 91420",New York,Europe
29e9d95f-ed2f-4a11-9b7b-056660fa001c,Bowers-Benton,"27919 Derrick Divide, Huffmanmouth, TX 54874",New York,Asia
97bef2c4-703a-4743-a2fa-803957a8492d,Williams PLC,"USCGC Wallace, FPO AE 04860",Cape Town,North America
